Buyer ID,Age,Location,Painting Preference (%),Sculpture Preference (%),Photograph Preference (%),Avg Spend,Views,Likes,Style Preference,Medium Preference,Feedback Sentiment,Repeat Purchases
B0690,36,Berlin,49,62,-11,470,33,8,Abstract,Digital Prints,Neutral,2
B0691,36,Berlin,12,44,44,1367,19,17,Surreal,Mixed Media,Negative,6
B0692,31,Singapore,45,26,29,789,28,4,Abstract,Sculpture,Negative,9
B0693,48,London,48,25,27,307,25,3,Surreal,Bronze,Positive,4
B0694,64,Toronto,58,99,-57,108,17,2,Surreal,Sculpture,Positive,4
B0695,20,Sydney,4,60,36,752,38,5,Contemporary,Sculpture,Positive,5
B0696,34,Singapore,7,8,85,249,32,14,Impressionist,Oil,Positive,10
B0697,33,Dubai,87,18,-5,1048,5,19,Contemporary,Oil,Negative,5
B0698,26,Toronto,34,90,-24,1764,23,7,Contemporary,Watercolor,Negative,8
B0699,48,Dubai,46,20,34,286,35,14,Contemporary,Bronze,Positive,4
B0700,47,Sydney,81,50,-31,186,6,2,Impressionist,Oil,Negative,2
B0701,54,Tokyo,82,10,8,1704,33,15,Surreal,Bronze,Negative,7
B0702,54,London,81,78,-59,969,40,19,Realistic,Digital Prints,Positive,4
B0703,21,Dubai,98,53,-51,166,24,10,Realistic,Mixed Media,Negative,8
B0704,59,Dubai,42,1,57,703,29,20,Contemporary,Watercolor,Neutral,3
B0705,25,Toronto,67,80,-47,197,20,3,Realistic,Watercolor,Neutral,4
B0706,55,London,40,46,14,1178,7,19,Surreal,Bronze,Positive,1
B0707,22,Mumbai,68,11,21,1048,13,6,Contemporary,Digital Prints,Positive,8
B0708,62,Sydney,52,70,-22,1562,30,6,Surreal,Digital Prints,Negative,8
B0709,48,NYC,60,12,28,1369,32,9,Contemporary,Bronze,Positive,5
B0710,23,Berlin,33,28,39,127,7,15,Surreal,Sculpture,Negative,7
B0711,36,Toronto,81,95,-76,732,8,5,Realistic,Oil,Positive,8
B0712,42,Dubai,69,4,27,1567,11,9,Surreal,Sculpture,Neutral,8
B0713,49,Mumbai,13,18,69,664,16,17,Impressionist,Oil,Positive,5
B0714,24,Dubai,64,98,-62,1703,21,16,Impressionist,Watercolor,Negative,7
B0715,34,Mumbai,78,38,-16,470,22,16,Abstract,Digital Prints,Positive,7
B0716,31,Sydney,76,98,-74,1513,38,18,Contemporary,Watercolor,Positive,4
B0717,48,Paris,42,86,-28,1648,31,4,Realistic,Watercolor,Positive,1
B0718,56,Sydney,70,85,-55,1749,21,19,Realistic,Oil,Negative,5
B0719,34,NYC,8,80,12,1957,49,10,Impressionist,Digital Prints,Positive,8
B0720,33,Sydney,98,39,-37,1615,12,10,Impressionist,Bronze,Neutral,1
B0721,63,Berlin,43,43,14,1992,10,11,Abstract,Oil,Positive,6
B0722,31,NYC,82,99,-81,1295,28,12,Surreal,Watercolor,Positive,10
B0723,23,Berlin,9,63,28,757,9,13,Contemporary,Bronze,Positive,6
B0724,39,Berlin,73,93,-66,1356,46,6,Realistic,Digital Prints,Negative,8
B0725,60,Mumbai,99,16,-15,1220,38,20,Impressionist,Digital Prints,Positive,4
B0726,56,Berlin,80,11,9,1576,32,12,Contemporary,Sculpture,Positive,2
B0727,62,Mumbai,55,87,-42,1800,37,11,Realistic,Bronze,Positive,7
B0728,32,Mumbai,2,47,51,1064,37,11,Surreal,Bronze,Neutral,7
B0729,18,Mumbai,25,40,35,1210,17,13,Surreal,Mixed Media,Negative,8
B0730,37,Toronto,76,91,-67,813,38,12,Impressionist,Bronze,Negative,4
B0731,53,Toronto,19,90,-9,910,28,1,Impressionist,Oil,Negative,5
B0732,62,Dubai,86,78,-64,1776,24,17,Contemporary,Mixed Media,Negative,7
B0733,30,Dubai,42,70,-12,1147,41,13,Abstract,Sculpture,Negative,2
B0734,48,Paris,60,4,36,1341,45,13,Abstract,Sculpture,Negative,6
B0735,33,NYC,20,48,32,167,34,17,Realistic,Watercolor,Negative,2
B0736,38,London,3,92,5,152,14,5,Contemporary,Bronze,Positive,4
B0737,29,Singapore,40,14,46,1857,28,11,Realistic,Mixed Media,Positive,4
B0738,28,NYC,96,27,-23,200,16,6,Impressionist,Watercolor,Neutral,9
B0739,55,Sydney,59,6,35,1600,25,2,Impressionist,Sculpture,Neutral,4
B0740,19,London,76,91,-67,720,33,19,Contemporary,Oil,Negative,8
B0741,45,Tokyo,8,60,32,1830,36,15,Surreal,Watercolor,Negative,4
B0742,26,London,52,44,4,1501,28,5,Realistic,Watercolor,Positive,8
B0743,51,Tokyo,46,9,45,1018,19,19,Abstract,Mixed Media,Positive,10
B0744,25,Paris,100,63,-63,325,36,10,Abstract,Mixed Media,Neutral,6
B0745,53,NYC,8,42,50,1092,8,19,Surreal,Digital Prints,Positive,2
B0746,45,Tokyo,10,47,43,1786,40,13,Abstract,Watercolor,Neutral,2
B0747,56,Paris,88,25,-13,1732,8,14,Surreal,Oil,Negative,6
B0748,26,London,29,91,-20,816,19,12,Surreal,Digital Prints,Neutral,10
B0749,54,Singapore,29,18,53,1562,22,7,Contemporary,Watercolor,Negative,7
B0750,45,Paris,58,76,-34,526,24,20,Surreal,Mixed Media,Positive,7
B0751,45,Sydney,18,96,-14,1931,19,8,Impressionist,Bronze,Negative,2
B0752,23,NYC,75,68,-43,809,29,20,Contemporary,Watercolor,Negative,8
B0753,65,Toronto,23,42,35,597,27,17,Realistic,Sculpture,Neutral,5
B0754,24,Mumbai,77,10,13,967,30,16,Surreal,Digital Prints,Positive,9
B0755,19,NYC,52,14,34,478,50,12,Realistic,Mixed Media,Neutral,7
B0756,36,NYC,98,94,-92,1476,44,9,Impressionist,Digital Prints,Neutral,4
B0757,58,NYC,6,31,63,562,32,10,Surreal,Oil,Negative,1
B0758,59,Tokyo,4,27,69,249,18,18,Surreal,Bronze,Neutral,5
B0759,24,Tokyo,35,5,60,625,38,20,Contemporary,Sculpture,Negative,3
B0760,27,Singapore,73,64,-37,1833,19,10,Impressionist,Oil,Positive,6
B0761,18,Berlin,89,7,4,1022,16,5,Surreal,Watercolor,Neutral,10
B0762,37,Toronto,8,17,75,1528,42,2,Abstract,Watercolor,Positive,1
B0763,59,Sydney,65,85,-50,429,39,17,Abstract,Sculpture,Negative,7
B0764,42,Mumbai,78,35,-13,807,30,2,Impressionist,Bronze,Positive,9
B0765,64,Berlin,68,49,-17,1398,29,11,Contemporary,Digital Prints,Neutral,10
B0766,48,Berlin,34,45,21,1391,37,8,Impressionist,Watercolor,Neutral,5
B0767,59,Dubai,39,3,58,656,29,18,Surreal,Bronze,Positive,9
B0768,60,Tokyo,53,100,-53,731,17,20,Abstract,Sculpture,Positive,1
B0769,55,Mumbai,54,47,-1,592,11,13,Realistic,Sculpture,Negative,1
B0770,50,NYC,84,6,10,1731,13,12,Surreal,Mixed Media,Neutral,8
B0771,51,Sydney,18,48,34,232,19,8,Impressionist,Oil,Neutral,5
B0772,44,Mumbai,96,31,-27,1603,20,12,Abstract,Sculpture,Positive,7
B0773,31,Dubai,7,95,-2,1075,28,12,Contemporary,Watercolor,Negative,1
B0774,48,Berlin,61,89,-50,1761,19,5,Surreal,Mixed Media,Neutral,7
B0775,27,Singapore,93,44,-37,553,10,5,Impressionist,Bronze,Negative,8
B0776,41,Mumbai,2,49,49,1859,44,17,Realistic,Digital Prints,Neutral,1
B0777,45,Paris,96,80,-76,1833,6,17,Realistic,Mixed Media,Positive,8
B0778,29,Berlin,56,65,-21,861,39,9,Abstract,Oil,Positive,3
B0779,51,Mumbai,97,59,-56,1214,36,3,Surreal,Mixed Media,Negative,6
B0780,56,London,21,49,30,1245,25,16,Realistic,Sculpture,Neutral,1
B0781,55,NYC,52,20,28,114,26,9,Abstract,Oil,Negative,2
B0782,52,Paris,90,24,-14,1708,46,7,Surreal,Sculpture,Positive,8
B0783,35,Tokyo,55,5,40,1182,12,16,Realistic,Oil,Negative,8
B0784,38,Singapore,5,5,90,1786,32,17,Contemporary,Oil,Neutral,9
B0785,38,Tokyo,91,35,-26,1316,22,8,Abstract,Digital Prints,Neutral,7
B0786,42,Toronto,72,92,-64,500,14,7,Surreal,Bronze,Neutral,9
B0787,32,Dubai,28,78,-6,441,42,8,Surreal,Oil,Neutral,5
B0788,24,London,69,100,-69,1587,9,12,Surreal,Bronze,Neutral,5
B0789,40,Sydney,24,6,70,1263,31,12,Realistic,Sculpture,Negative,7
B0790,24,Singapore,85,8,7,1798,5,6,Abstract,Watercolor,Neutral,5
B0791,43,Berlin,8,62,30,1269,30,4,Contemporary,Bronze,Positive,1
B0792,28,Singapore,74,100,-74,1641,16,17,Surreal,Digital Prints,Neutral,2
B0793,64,Tokyo,21,40,39,713,16,20,Impressionist,Watercolor,Negative,1
B0794,25,Mumbai,5,27,68,1147,36,2,Contemporary,Sculpture,Neutral,9
B0795,51,Toronto,18,59,23,227,43,1,Surreal,Bronze,Negative,9
B0796,40,Paris,17,86,-3,802,21,2,Impressionist,Bronze,Positive,2
B0797,28,Sydney,94,0,6,556,11,3,Contemporary,Bronze,Neutral,6
B0798,42,Mumbai,48,92,-40,1764,16,14,Contemporary,Watercolor,Negative,9
B0799,18,London,80,27,-7,654,17,5,Abstract,Oil,Positive,8
B0800,62,Dubai,8,77,15,761,39,3,Impressionist,Oil,Neutral,9
B0801,52,Toronto,96,6,-2,244,19,9,Realistic,Oil,Negative,4
B0802,61,Berlin,100,62,-62,494,37,11,Impressionist,Oil,Negative,3
B0803,18,NYC,37,79,-16,960,23,4,Abstract,Oil,Positive,8
B0804,43,Berlin,97,22,-19,1754,16,7,Abstract,Oil,Positive,5
B0805,19,Tokyo,89,71,-60,560,27,2,Contemporary,Digital Prints,Negative,6
B0806,55,Tokyo,96,2,2,1044,35,12,Abstract,Oil,Neutral,1
B0807,63,Singapore,22,34,44,887,42,9,Abstract,Sculpture,Neutral,2
B0808,18,Sydney,79,63,-42,907,19,1,Impressionist,Sculpture,Positive,5
B0809,35,Berlin,49,24,27,1753,8,18,Abstract,Bronze,Negative,6
B0810,46,Singapore,40,84,-24,1758,8,3,Impressionist,Bronze,Positive,10
B0811,43,NYC,86,34,-20,1667,11,9,Contemporary,Sculpture,Negative,2
B0812,52,Dubai,81,35,-16,1244,49,20,Contemporary,Sculpture,Positive,7
B0813,37,Sydney,21,46,33,411,46,18,Surreal,Oil,Neutral,4
B0814,44,Sydney,71,47,-18,734,29,20,Impressionist,Bronze,Negative,5
B0815,57,Toronto,95,7,-2,2000,22,7,Contemporary,Bronze,Positive,3
B0816,61,Sydney,63,73,-36,1388,42,2,Realistic,Sculpture,Positive,9
B0817,50,Mumbai,74,3,23,265,9,16,Realistic,Bronze,Neutral,3
B0818,30,Singapore,52,89,-41,861,13,15,Contemporary,Oil,Neutral,7
B0819,20,Toronto,19,48,33,450,9,9,Abstract,Digital Prints,Neutral,10
B0820,22,Singapore,90,45,-35,1344,46,5,Contemporary,Bronze,Neutral,8
B0821,55,NYC,2,82,16,845,11,6,Contemporary,Bronze,Neutral,3
B0822,47,London,74,14,12,573,31,20,Abstract,Sculpture,Positive,2
B0823,30,Berlin,32,52,16,953,28,15,Contemporary,Sculpture,Positive,6
B0824,49,Sydney,4,26,70,420,18,5,Contemporary,Oil,Negative,3
B0825,19,Singapore,47,12,41,241,15,12,Realistic,Bronze,Positive,9
B0826,26,Paris,8,52,40,1080,9,2,Realistic,Mixed Media,Neutral,7
B0827,20,Mumbai,87,61,-48,987,15,6,Surreal,Oil,Positive,10
B0828,63,NYC,22,17,61,904,14,3,Contemporary,Digital Prints,Positive,7
B0829,49,London,81,70,-51,657,7,7,Realistic,Bronze,Negative,10
B0830,57,London,8,15,77,1469,49,12,Abstract,Oil,Neutral,7
B0831,61,Toronto,72,21,7,1370,13,5,Impressionist,Mixed Media,Neutral,4
B0832,60,Dubai,94,21,-15,704,40,15,Contemporary,Oil,Positive,1
B0833,60,London,79,40,-19,1018,21,15,Surreal,Digital Prints,Negative,4
B0834,36,NYC,60,52,-12,388,46,12,Realistic,Sculpture,Positive,5
B0835,62,Mumbai,66,61,-27,1288,14,14,Realistic,Sculpture,Negative,5
B0836,26,Singapore,43,76,-19,1721,42,11,Realistic,Sculpture,Positive,2
B0837,19,Paris,72,48,-20,852,42,20,Realistic,Digital Prints,Positive,2
B0838,30,London,65,94,-59,1669,41,13,Realistic,Watercolor,Neutral,9
B0839,22,London,49,25,26,1040,50,10,Contemporary,Digital Prints,Neutral,5
B0840,54,Dubai,72,23,5,1566,14,8,Surreal,Watercolor,Positive,3
B0841,59,Berlin,23,58,19,973,28,11,Surreal,Digital Prints,Negative,4
B0842,55,Singapore,18,13,69,1712,19,20,Abstract,Watercolor,Positive,3
B0843,55,Sydney,73,30,-3,1364,8,12,Contemporary,Watercolor,Negative,8
B0844,62,Singapore,58,84,-42,1878,43,13,Surreal,Watercolor,Positive,3
B0845,35,Tokyo,38,77,-15,1359,18,17,Contemporary,Bronze,Negative,7
B0846,63,NYC,21,90,-11,618,16,19,Impressionist,Oil,Positive,3
B0847,26,Paris,87,82,-69,124,32,19,Impressionist,Oil,Negative,6
B0848,27,Toronto,98,22,-20,215,30,7,Abstract,Sculpture,Negative,9
B0849,57,Toronto,20,82,-2,1034,40,1,Realistic,Oil,Positive,1
B0850,65,Berlin,52,87,-39,519,30,18,Surreal,Digital Prints,Negative,5
B0851,60,Mumbai,94,10,-4,571,5,13,Realistic,Digital Prints,Negative,1
B0852,29,Berlin,15,90,-5,1322,20,18,Realistic,Sculpture,Negative,6
B0853,21,Mumbai,88,97,-85,277,26,2,Surreal,Digital Prints,Neutral,4
B0854,61,Mumbai,41,19,40,802,6,20,Abstract,Oil,Positive,4
B0855,43,Sydney,76,10,14,1760,6,5,Contemporary,Digital Prints,Positive,9
B0856,50,NYC,59,42,-1,864,40,6,Contemporary,Bronze,Positive,5
B0857,28,London,99,31,-30,1581,29,15,Contemporary,Watercolor,Negative,7
B0858,35,Toronto,94,30,-24,1911,6,16,Contemporary,Digital Prints,Positive,4
B0859,45,Paris,19,89,-8,1769,41,13,Surreal,Digital Prints,Positive,9
B0860,23,Tokyo,66,71,-37,176,24,4,Surreal,Oil,Neutral,5
B0861,58,Paris,68,60,-28,1867,36,11,Abstract,Digital Prints,Positive,9
B0862,41,Tokyo,98,71,-69,227,39,5,Surreal,Mixed Media,Negative,7
B0863,22,Dubai,73,59,-32,1222,43,5,Surreal,Watercolor,Neutral,9
B0864,47,NYC,9,22,69,1061,33,3,Contemporary,Sculpture,Positive,8
B0865,56,Toronto,78,7,15,1567,47,15,Realistic,Bronze,Negative,9
B0866,20,Tokyo,59,35,6,1779,16,17,Contemporary,Mixed Media,Negative,10
B0867,53,Dubai,49,12,39,114,28,9,Realistic,Oil,Neutral,1
B0868,47,Toronto,75,31,-6,1223,10,10,Realistic,Digital Prints,Neutral,4
B0869,52,Tokyo,3,29,68,1813,11,12,Contemporary,Mixed Media,Neutral,8
B0870,44,Berlin,34,13,53,626,26,10,Impressionist,Mixed Media,Neutral,1
B0871,36,Sydney,20,71,9,177,23,13,Impressionist,Watercolor,Positive,10
B0872,37,Dubai,95,28,-23,1696,5,4,Impressionist,Watercolor,Negative,7
B0873,48,Berlin,68,78,-46,770,31,5,Abstract,Sculpture,Positive,3
B0874,54,Berlin,51,45,4,1318,18,3,Impressionist,Bronze,Positive,8
B0875,19,Singapore,32,84,-16,611,18,5,Impressionist,Oil,Positive,8
B0876,33,Paris,68,41,-9,1102,6,19,Surreal,Bronze,Neutral,3
B0877,38,Mumbai,4,34,62,1224,11,8,Surreal,Digital Prints,Neutral,2
B0878,51,Tokyo,63,93,-56,1112,14,19,Realistic,Digital Prints,Negative,1
B0879,20,Sydney,74,88,-62,954,41,2,Impressionist,Bronze,Positive,8
B0880,49,Mumbai,20,55,25,1894,39,8,Realistic,Watercolor,Positive,1
B0881,50,Sydney,59,90,-49,1303,46,12,Realistic,Bronze,Positive,8
B0882,57,Paris,33,30,37,555,21,5,Surreal,Sculpture,Neutral,1
B0883,18,Sydney,72,65,-37,1725,27,11,Abstract,Oil,Positive,4
B0884,64,Paris,17,12,71,158,32,2,Realistic,Oil,Neutral,2
B0885,24,Berlin,14,63,23,1922,15,3,Realistic,Bronze,Positive,6
B0886,36,Mumbai,14,71,15,1431,27,8,Abstract,Digital Prints,Positive,1
B0887,52,NYC,12,45,43,982,7,15,Abstract,Watercolor,Positive,5
B0888,22,London,42,91,-33,1828,36,9,Contemporary,Watercolor,Negative,4
B0889,48,Dubai,81,84,-65,1928,45,14,Contemporary,Bronze,Neutral,1
B0890,55,Singapore,68,21,11,1744,46,8,Abstract,Sculpture,Positive,4
B0891,42,Berlin,36,87,-23,1725,15,10,Abstract,Digital Prints,Neutral,4
B0892,59,Berlin,55,7,38,928,47,10,Impressionist,Oil,Neutral,10
B0893,20,Dubai,67,79,-46,1658,17,13,Impressionist,Digital Prints,Positive,8
B0894,26,London,40,40,20,679,7,13,Abstract,Digital Prints,Negative,9
B0895,29,NYC,36,71,-7,616,39,18,Abstract,Bronze,Positive,9
B0896,65,London,14,9,77,1499,50,13,Contemporary,Mixed Media,Negative,1
B0897,28,Tokyo,13,40,47,526,35,11,Impressionist,Digital Prints,Negative,5
B0898,52,Singapore,65,78,-43,1134,17,12,Contemporary,Watercolor,Neutral,5
B0899,45,Tokyo,98,57,-55,1044,43,15,Abstract,Digital Prints,Neutral,4
B0900,38,Sydney,35,3,62,655,41,15,Abstract,Digital Prints,Positive,4
B0901,37,Singapore,3,54,43,946,49,8,Contemporary,Bronze,Positive,4
B0902,45,Berlin,43,76,-19,1361,37,9,Surreal,Bronze,Neutral,3
B0903,47,Dubai,55,3,42,1516,36,8,Realistic,Watercolor,Neutral,7
B0904,21,Singapore,28,21,51,1528,34,10,Impressionist,Oil,Negative,6
B0905,58,Dubai,64,69,-33,1846,35,10,Surreal,Sculpture,Negative,5
B0906,49,Sydney,50,49,1,1207,42,17,Impressionist,Digital Prints,Positive,4
B0907,31,Berlin,0,21,79,1529,13,20,Realistic,Oil,Neutral,5
B0908,23,Paris,93,21,-14,1774,17,19,Abstract,Sculpture,Negative,2
B0909,26,Paris,78,77,-55,1296,29,16,Contemporary,Oil,Negative,1
B0910,46,Singapore,50,28,22,1581,8,10,Contemporary,Watercolor,Negative,10
B0911,18,Sydney,63,34,3,916,37,17,Contemporary,Digital Prints,Negative,8
B0912,41,Dubai,96,80,-76,184,39,7,Impressionist,Watercolor,Positive,4
B0913,45,NYC,49,53,-2,1129,29,5,Abstract,Watercolor,Neutral,4
B0914,41,London,79,31,-10,1639,21,7,Abstract,Watercolor,Neutral,3
B0915,42,Mumbai,60,97,-57,431,35,18,Impressionist,Mixed Media,Neutral,8
B0916,31,NYC,49,12,39,476,32,3,Abstract,Digital Prints,Positive,5
B0917,31,Sydney,57,99,-56,518,33,2,Abstract,Oil,Neutral,1
B0918,52,Dubai,86,1,13,1227,18,10,Surreal,Sculpture,Positive,6
B0919,22,NYC,63,7,30,398,50,17,Impressionist,Sculpture,Positive,9
B0920,53,Toronto,23,55,22,1680,5,20,Impressionist,Mixed Media,Neutral,6
B0921,34,Berlin,95,99,-94,303,49,9,Contemporary,Bronze,Negative,7
B0922,38,Berlin,99,69,-68,763,14,9,Abstract,Oil,Negative,8
B0923,63,London,77,55,-32,134,13,7,Abstract,Oil,Neutral,9
B0924,24,Mumbai,30,81,-11,1910,31,15,Impressionist,Sculpture,Positive,2
B0925,29,Singapore,59,30,11,999,44,14,Abstract,Oil,Positive,2
B0926,52,NYC,7,45,48,1564,31,19,Abstract,Oil,Neutral,1
B0927,26,Sydney,30,85,-15,1193,50,18,Surreal,Sculpture,Negative,6
B0928,42,NYC,27,77,-4,1491,29,13,Surreal,Mixed Media,Positive,1
B0929,58,Berlin,71,43,-14,1495,24,7,Surreal,Digital Prints,Negative,7
B0930,23,Singapore,50,30,20,1914,10,10,Surreal,Watercolor,Positive,10
B0931,52,Paris,54,99,-53,1757,27,18,Surreal,Bronze,Negative,10
B0932,27,Singapore,42,30,28,1535,37,19,Abstract,Bronze,Neutral,9
B0933,31,Sydney,14,28,58,1229,29,4,Surreal,Mixed Media,Negative,6
B0934,62,Toronto,34,50,16,1260,42,19,Realistic,Digital Prints,Negative,8
B0935,32,Dubai,1,27,72,1005,6,6,Impressionist,Watercolor,Positive,1
B0936,22,Sydney,19,0,81,1168,6,3,Impressionist,Digital Prints,Neutral,1
B0937,33,Berlin,46,90,-36,371,28,17,Abstract,Watercolor,Positive,8
B0938,47,Mumbai,39,88,-27,870,11,20,Surreal,Digital Prints,Positive,6
B0939,19,Sydney,59,37,4,637,36,12,Impressionist,Digital Prints,Negative,2
B0940,32,Tokyo,46,54,0,1749,19,6,Contemporary,Digital Prints,Negative,2
B0941,44,Paris,56,10,34,1317,5,2,Impressionist,Sculpture,Neutral,7
B0942,19,Toronto,32,28,40,1987,34,16,Abstract,Bronze,Neutral,1
B0943,37,Singapore,23,99,-22,234,49,7,Realistic,Watercolor,Positive,5
B0944,38,Sydney,75,18,7,154,29,12,Impressionist,Sculpture,Neutral,10
B0945,45,Dubai,41,38,21,439,25,15,Contemporary,Sculpture,Positive,5
B0946,24,Tokyo,57,81,-38,164,50,20,Impressionist,Bronze,Neutral,5
B0947,65,Mumbai,80,64,-44,1407,20,5,Impressionist,Watercolor,Neutral,8
B0948,36,Paris,43,25,32,319,32,20,Abstract,Watercolor,Neutral,2
B0949,39,Berlin,62,33,5,1476,15,3,Impressionist,Sculpture,Neutral,4
B0950,49,NYC,30,27,43,1052,29,7,Realistic,Bronze,Neutral,5
B0951,49,London,20,80,0,1048,28,3,Surreal,Bronze,Positive,4
B0952,29,Dubai,97,81,-78,1241,45,17,Realistic,Oil,Neutral,5
B0953,40,Sydney,21,32,47,961,25,16,Contemporary,Bronze,Neutral,2
B0954,65,Singapore,73,67,-40,1504,23,2,Contemporary,Sculpture,Negative,7
B0955,30,Tokyo,42,88,-30,460,36,7,Abstract,Watercolor,Neutral,7
B0956,34,Dubai,13,0,87,111,20,3,Realistic,Bronze,Negative,9
B0957,52,NYC,72,61,-33,1347,8,18,Realistic,Mixed Media,Positive,7
B0958,41,Singapore,32,8,60,1840,29,14,Contemporary,Sculpture,Neutral,1
B0959,35,Sydney,70,13,17,1578,21,12,Impressionist,Oil,Positive,10
B0960,51,London,70,20,10,1163,31,1,Impressionist,Mixed Media,Neutral,1
B0961,41,Sydney,93,26,-19,950,40,8,Contemporary,Bronze,Positive,9
B0962,64,London,12,34,54,1516,41,18,Contemporary,Bronze,Neutral,8
B0963,30,Paris,19,21,60,138,19,17,Contemporary,Oil,Negative,3
B0964,44,Tokyo,30,16,54,1845,43,18,Abstract,Watercolor,Negative,4
B0965,43,Dubai,72,74,-46,1499,14,12,Contemporary,Digital Prints,Negative,9
B0966,54,NYC,70,70,-40,1495,34,9,Realistic,Watercolor,Positive,10
B0967,39,Mumbai,18,17,65,567,12,17,Realistic,Mixed Media,Positive,4
B0968,32,Toronto,58,42,0,1899,31,2,Abstract,Oil,Positive,7
B0969,29,NYC,57,0,43,1903,30,1,Impressionist,Watercolor,Negative,6
B0970,22,Dubai,13,75,12,223,50,5,Impressionist,Digital Prints,Positive,7
B0971,48,London,49,75,-24,1458,14,10,Contemporary,Oil,Neutral,7
B0972,19,Mumbai,96,34,-30,1217,32,6,Contemporary,Oil,Negative,6
B0973,52,Mumbai,2,70,28,582,48,6,Realistic,Bronze,Neutral,8
B0974,27,Paris,69,74,-43,1510,46,5,Abstract,Bronze,Positive,2
B0975,54,NYC,87,27,-14,1569,24,3,Abstract,Watercolor,Positive,8
B0976,59,NYC,57,33,10,904,17,10,Impressionist,Mixed Media,Positive,4
B0977,45,Singapore,32,27,41,502,8,4,Abstract,Bronze,Positive,9
B0978,56,Sydney,25,80,-5,1376,13,1,Abstract,Watercolor,Negative,1
B0979,28,Singapore,41,84,-25,1716,35,5,Contemporary,Watercolor,Neutral,1
B0980,24,NYC,53,96,-49,102,33,6,Abstract,Digital Prints,Neutral,2
B0981,38,Toronto,59,0,41,930,13,11,Realistic,Watercolor,Negative,1
B0982,41,London,42,14,44,216,41,7,Realistic,Bronze,Negative,8
B0983,41,London,38,36,26,1985,6,1,Realistic,Watercolor,Neutral,9
B0984,36,London,94,79,-73,865,13,11,Impressionist,Digital Prints,Negative,9
B0985,50,Mumbai,69,13,18,1417,6,5,Abstract,Watercolor,Negative,1
B0986,48,Dubai,68,95,-63,244,10,14,Realistic,Sculpture,Positive,1
B0987,58,Toronto,90,66,-56,532,5,12,Surreal,Digital Prints,Positive,2
B0988,19,Mumbai,64,1,35,381,46,5,Impressionist,Watercolor,Positive,4
B0989,39,Mumbai,12,29,59,556,24,7,Realistic,Bronze,Positive,8
B0990,50,Sydney,77,43,-20,1543,25,6,Realistic,Digital Prints,Positive,10
B0991,61,Berlin,24,92,-16,698,22,6,Realistic,Mixed Media,Neutral,8
B0992,48,Sydney,75,62,-37,1894,17,2,Surreal,Bronze,Negative,9
B0993,38,Sydney,72,85,-57,899,28,18,Surreal,Sculpture,Positive,3
B0994,21,Berlin,51,54,-5,865,36,6,Contemporary,Sculpture,Negative,9
B0995,36,NYC,86,10,4,1010,48,4,Contemporary,Watercolor,Negative,9
B0996,56,Sydney,98,54,-52,1350,34,2,Surreal,Bronze,Neutral,10
B0997,28,Singapore,54,51,-5,1288,33,11,Surreal,Watercolor,Negative,9
B0998,58,Paris,44,91,-35,531,37,3,Realistic,Digital Prints,Neutral,4
B0999,38,Tokyo,99,85,-84,222,16,19,Surreal,Bronze,Neutral,2
B1000,44,London,5,84,11,974,29,13,Surreal,Watercolor,Positive,10
B1001,52,Berlin,46,34,20,1933,20,10,Abstract,Oil,Neutral,1
B1002,22,Berlin,44,24,32,734,41,8,Surreal,Mixed Media,Neutral,2
B1003,30,London,15,32,53,1784,32,6,Abstract,Digital Prints,Negative,1
B1004,27,Sydney,37,45,18,345,5,20,Abstract,Oil,Neutral,10
B1005,65,Tokyo,50,74,-24,1433,40,4,Realistic,Watercolor,Neutral,9
B1006,30,Tokyo,36,59,5,218,44,2,Impressionist,Digital Prints,Negative,8
B1007,54,Mumbai,60,16,24,1895,38,20,Contemporary,Oil,Neutral,8
B1008,32,Toronto,65,2,33,1229,21,20,Realistic,Oil,Negative,7
B1009,26,Berlin,86,62,-48,540,36,17,Abstract,Bronze,Negative,10
B1010,43,NYC,85,41,-26,1593,13,13,Realistic,Bronze,Negative,2
B1011,48,Tokyo,20,99,-19,1757,26,15,Abstract,Sculpture,Negative,10
B1012,25,Paris,79,75,-54,426,41,20,Impressionist,Mixed Media,Neutral,3
B1013,37,Berlin,1,40,59,837,27,20,Contemporary,Mixed Media,Negative,7
B1014,35,Berlin,24,17,59,890,42,20,Surreal,Bronze,Negative,2
B1015,42,Paris,98,68,-66,1340,10,13,Impressionist,Bronze,Negative,7
B1016,41,Berlin,97,9,-6,940,26,4,Contemporary,Oil,Neutral,3
B1017,31,London,22,54,24,1034,31,5,Surreal,Mixed Media,Positive,1
B1018,35,Tokyo,47,59,-6,727,25,4,Contemporary,Sculpture,Negative,9
B1019,64,Sydney,9,73,18,813,46,2,Impressionist,Sculpture,Neutral,9
B1020,49,Paris,8,34,58,241,50,9,Realistic,Digital Prints,Positive,1
B1021,21,Mumbai,59,92,-51,1771,43,8,Abstract,Sculpture,Neutral,7
B1022,37,Tokyo,91,90,-81,1488,34,15,Surreal,Oil,Positive,6
B1023,55,Paris,87,18,-5,1332,27,16,Abstract,Oil,Negative,6
B1024,40,Dubai,54,92,-46,879,39,11,Surreal,Bronze,Positive,1
B1025,35,Berlin,24,32,44,1744,18,5,Impressionist,Sculpture,Positive,4
B1026,58,NYC,100,1,-1,296,38,4,Abstract,Mixed Media,Positive,10
